station,date,qizm_sum,fx_dynamic,fx_fixed_20c,fx_primary_integrated_ambient,fx_secondary_integrated_ambient,fx_return_sink,t_sup_prim_c,t_amb_c
L12,2024-11-17,2159.800000001269,0.21432406392197226,0.17186860295887946,0.16790509242862398,0.11992318616208122,0.10955280229204559,80.90943791090658,4.944135568117127
L12,2024-11-18,2199.799999998504,0.21859917737526943,0.17471126828791447,0.17050221452935438,0.12126415649687926,0.11371338427804549,82.10434403127591,4.385775070456198
L12,2024-11-19,2045.800000001691,0.2037426576324322,0.16439925118268375,0.15847733667908348,0.11268226055233409,0.10566831267158387,77.72951999216943,6.181667807215682
L12,2024-11-20,937.1999999966647,0.2006223418783391,0.16156364248218327,0.15861032763747868,0.1130253936774981,0.09820711808961309,76.52010670079174,6.32409731114744
L12,2024-11-21,2604.799999999159,0.2296845691795263,0.17521561027534482,0.18313953258222768,0.13549613905725055,0.11176597423890393,82.29062499999483,0.6343888206400807
L12,2024-11-22,1368.000000000393,0.22162451969643143,0.17095845634032028,0.17716206554295927,0.12939665537254105,0.10622688617704468,80.54688888889822,2.031172514610487
L12,2024-11-23,2890.000000001237,0.2324788852925678,0.17545422241586522,0.18686364399610408,0.13966605074211141,0.11010465142656552,82.40722214533093,-0.28444705882345916
L12,2024-11-24,2770.200000000841,0.2337652061178729,0.17639902323420803,0.18807023717425125,0.14057673522372247,0.11061901788633895,82.87482203451198,-0.4654898563290405
L12,2024-11-25,2783.400000000256,0.2297479489166916,0.17585753375382782,0.18426181998393673,0.13720329716464397,0.10944075816012423,82.57941222964651,0.8168398361712222
L12,2024-11-26,2277.5999999994383,0.2184864987209409,0.16919800464925072,0.1736230754813456,0.12702927322631005,0.10668997209049176,79.76259395855885,2.571765015803237
L12,2024-11-27,2013.3999999998196,0.20678825245663776,0.16504281351718372,0.16388137288535015,0.11864261645267941,0.10088451972341649,77.98214959769489,5.321239694050368
L12,2024-11-28,2050.4000000000815,0.20173838834238403,0.16400393302112878,0.1599699304354575,0.11579587799773408,0.09793213407702808,77.59769801014758,6.724980491609455
L12,2024-11-29,2695.400000000518,0.22980137559758174,0.1768115704153699,0.18360995736788674,0.13594894007167926,0.11099396673113154,82.98129554054334,1.128190250055857
L12,2024-11-30,2687.599999999293,0.22194743830916244,0.17063012479636055,0.1780905728431812,0.1326440457201189,0.10479696721044356,80.3336701890119,1.8595014139011419
