station,date_start,date_end,intervals,positive_qizm_intervals,qizm_sum,mean_t_sup_prim_c,mean_t_amb_c,simple_mean_fx_dynamic,qizm_weighted_fx_dynamic,qizm_weighted_fx_fixed_20c,qizm_weighted_fx_primary_integrated_ambient,qizm_weighted_fx_primary_integrated_fixed_20c,qizm_weighted_fx_secondary_integrated_ambient,qizm_weighted_fx_return_sink,peak_fx_dynamic,peak_fx_datetime,min_fx_dynamic,negative_fx_count,dynamic_minus_fixed_20c
L12,2024-11-17,2025-03-31,12898,6867,292499.5499999959,70.9466120906418,6.067396305552768,0.18662930371437525,0.21870411418440971,0.17432782853730733,0.17239474651464345,0.12533412694972149,0.12398794465620015,0.10995042059592121,0.28396427511400113,2025-02-20T06:00:00,0.024525341785931576,0,0.04437628564710239
L17,2024-11-17,2025-03-31,12898,7884,700557.5666666846,72.44008329811483,5.448148291724815,0.19212776886064128,0.21680564206694092,0.1728984419949103,0.17552709578618178,0.1292471961660498,0.12374755524486063,0.09868402291627695,0.2835244906220483,2025-02-20T06:00:00,0.034967076453988,0,0.04390720007203061
L22,2024-11-17,2025-03-31,12898,7226,314116.9999999979,62.17466475270524,6.964235335163682,0.16014590092592113,0.2123861070548242,0.17186580799676177,0.16654003846268706,0.12360188346179804,0.11986259409118144,0.10814697112010291,0.2769264034163086,2025-02-20T06:00:00,0.0042750743128151525,0,0.040520299058062426
L4,2024-11-17,2025-03-31,12898,7862,634101.8666666732,72.61903971279936,5.077420781151661,0.19379786793318177,0.21694802307532757,0.17200740326149347,0.17055711445651572,0.12289093274365726,0.12885710170377196,0.10997981586475139,0.28596107647042945,2025-02-20T06:00:00,0.044305631580642046,0,0.0449406198138341
portfolio,2024-11-17,2025-03-31,51592,29839,1941275.9833333516,81.28560937627584,4.436741732999542,0.18317521035852985,0.2164230767941337,0.17265567265075354,0.17197734144961677,0.12566774546369494,0.12482034375492373,0.10560279285863487,0.28596107647042945,2025-02-20T06:00:00,0.0042750743128151525,0,0.04376740414338015
