model,temperature_error_c,portfolio_fx,low_fx,high_fx,abs_uncertainty_fx,relative_uncertainty_percent,valid_intervals
primary_supply_ambient_carnot,0.5,0.2164230767941337,0.21390209815250832,0.2189369468151543,0.002520978641625371,1.1648381859127621,51592
primary_supply_return_integrated_ambient,0.5,0.17197734144961677,0.16924554478839735,0.1747009879377606,0.002731796661219421,1.5884631301965673,46434
secondary_supply_return_integrated_ambient,0.5,0.12482034375492373,0.12185956416136161,0.1277718019857342,0.0029607795935621267,2.372032879011627,49314
primary_return_sink_carnot,0.5,0.10560279285863487,0.10292730043032355,0.10827251745507667,0.0026754924283113185,2.5335432481344173,46438
primary_supply_fixed_20c_carnot,0.5,0.17265567265075354,0.17148617066376254,0.17382187660671528,0.0011695019869910062,0.6773608819425615,51592
